Men's 98B141 Precisionist Longwood Two-Tone Bracelet Watch	04419941000P	98B141	Bulova	From the Precisionist Longwood Collection. Masterfully intricate, yet offering a smooth, dress subtlety, the classic Longwood Collection provides a continuous interplay of heights and tones, blending meticulous five-piece case construction with intricate eight-piece dials, elegant tone-on-tone swirl pattern dials, and satin and polished case and bracelet finishes.		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_843798812	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_843798812	374.25	499	1	Two-tone gold
Kansas City Chiefs Schedule Watch	04430189000P	NFL-SW-KC	Gametime	Pre-pogrammed with team schedule, *updateable each season by downloading from your PC; Scroll function to see upcoming games, locations, and start times. Cost to download schedule each year is $9.95		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_230274601	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_230274601	99.95	99.95	1	Black
Mens Millenial Black Ion FInish Solar Chronograph Watch SSC203	04448354000P	SSC203	Seiko	Seiko Solar Alarm Chronograph. No battery change required and powered by all types of light. Solar cell with high performance electricity generation. Energy-efficient movement with long power reserve. This attractive men’s chronograph watch is constructed with a black ion finished stainless steel case and bracelet and features a bold black dial with three chronograph subdials. The alarm can be set on a 12-hour basis with two small hands and chronograph measures up to 60 minutes in 1/5th second increments as well as split time measurement. Alarm hands can indicate the time in a different time zone. Split time measurement. Date calendar. 100 meters water resistant.		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1088105012	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1088105012	296.25	395	1	Black
Mens Analog Metal Watch	9990000012255411P	12255411	Casio	This men's analog metal watch is 100 meter water resistant with a mineral crystal and 3 hand analog display.	Accuracy +/- 20 seconds per month Approximate Battery Life 3 years	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_218782001	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_218782001	34.99	34.99	1	Silver
NEW YORK METS ROOKIE WHITE Sports watch	00652280000P	MLB-ROW-NYM	MLB	"Officially Licensed Team Logo and colors. Stainless steel case back. Nylon Strap with Velcro®. Strap fits wrist size 6.25""-7.75"". Designed for Younger ladies/girls. Japan quartz movement and Water resistant to 3 ATM (99 ft.). Limited lifetime warranty."		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_756314112	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_756314112	24.95	24.95	1	
Ladies Gold Tone Dress Watch	04438859000P	98T89	Bulova	Classic and rich. This ladies Bulova watch is elegant to the touch. It is gold tone with a link style band. This timepiece has a champagne dial color and accented in crystals. It is water-resistant up to 100 M.		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_210637501	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_210637501	195	325	1	Yellow gold
Speedway Men 39.5mm Stainless Steel And Gold Watch With Blue Dial	04490187000P	17058INV	Invicta	This is a Speedway Men 39.5mm Stainless Steel And Gold Watch With Blue Dial		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1085534712	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1085534712	112.49	149.99	1	Yellow gold
Ladies Black Bracelet with Crystal Accents with Black Dial Watch	04415687000P	75/3689BKTI	Armitron	Ladies NOW ip plated black, round case, total 28 clear genuine crystals in bezel, mineral crystal, one touch two button fold over clasp & total 32 genuine crystals, textured black dial, gold index markers, luminous hands & dot markers, outside minute track, sweep second hand, wr 165		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_738271912	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_738271912	56.99	94.99	1	Black
PHILADELPHIA EAGLES BEAST Sports Watch	00652635000P	NFL-BEA-PHI	NFL	Officially Licensed Team Logo and Colors. Stainless steel case back with Japan quartz movement. Water resistant to 3 ATM (99 ft.). Limited lifetime warranty. Heavy Duty Polyurethane strap with sports buckle. Scratch Resistant Mineral Crystal and Sunray dial. Strap Length: 7.8 in - 9.25 in		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_756275912	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_756275912	49.95	49.95	1	
San Francisco 49Ers Elite	00662735000P	NFL-ELI-SF	NFL	Officially Licensed team logo and colors, all stainless steel construction and Japan Quartz movement. Textured color dial with applied team logo. Bracelet length is 7.8 inches to 9.5 inches. Water resistant to 3ATM (99 ft.) and comes with a limited lifetime warranty.		http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1019444412	http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_1019444412	99.95	99.95	1	Silver
